Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSONIG00000039450	SHANK2	LG1	+	2872213	3179253	0.000000	0.000000	0.000000
ENSONIG00000042241	-	LG1	-	3130909	3131928	0.000000	0.000000	0.000000
ENSONIG00000015695	dis3l	LG1	+	3304668	3344969	5.808379	13.572598	15.321073
ENSONIG00000029040	tipin	LG1	-	3345053	3358277	6.270282	13.935824	15.731091
ENSONIG00000032246	-	LG1	+	3350171	3350524	0.000000	0.000000	0.000000
ENSONIG00000015683	lctla	LG1	-	3365354	3377648	0.000000	0.000000	0.000000
ENSONIG00000015677	ccnb2	LG1	-	3388488	3391500	1.777846	3.951298	4.460319
ENSONIG00000015673	cars1	LG1	-	3394673	3409962	4.376312	10.823730	12.218082
ENSONIG00000028006	-	LG1	+	3397912	3398967	0.000000	0.000000	0.000000
ENSONIG00000015670	pex16	LG1	+	3411829	3426469	5.087108	11.306198	12.762705
ENSONIG00000030524	-	LG1	-	3418990	3420048	0.000000	0.000000	0.000000
ENSONIG00000015660	arfgap2	LG1	-	3426890	3441708	5.903817	23.706541	26.760506
ENSONIG00000015659	-	LG1	+	3442381	3455200	1.595334	3.545661	4.002427
ENSONIG00000015649	ppfia1	LG1	+	3511086	3556602	3.070131	7.067119	7.977532
ENSONIG00000028931	-	LG1	-	3591393	3611246	0.000000	0.000000	0.000000
ENSONIG00000027350	-	LG1	-	3631525	3633870	0.000000	0.000000	0.000000
ENSONIG00000035664	-	LG1	-	3651938	3656401	0.000000	0.000000	0.000000
ENSONIG00000008311	-	LG1	+	3840314	3856285	0.000000	0.000000	0.000000
ENSONIG00000008316	tollip	LG1	-	3857507	4050728	10.638866	27.970963	31.574289
ENSONIG00000038545	-	LG1	+	3868610	3871834	0.000000	0.000000	0.000000
ENSONIG00000007321	mtch2	LG1	+	3933805	3954320	6.406385	71.390305	80.587074
ENSONIG00000007320	TLNRD1	LG1	+	3964812	3966516	5.449275	12.111121	13.671322
ENSONIG00000033358	-	LG1	+	4020671	4022659	0.000000	0.000000	0.000000
ENSONIG00000028757	oni-mir-10898	LG1	+	4023316	4023386	0.000000	0.000000	0.000000
ENSONIG00000042289	-	LG1	+	4024419	4027454	0.000000	0.000000	0.000000
ENSONIG00000033332	-	LG1	-	4064079	4065365	0.000000	0.000000	0.000000
ENSONIG00000018108	-	LG1	+	4076096	4080271	1.207615	5.584538	6.303960
ENSONIG00000018107	-	LG1	-	4080092	4083797	1.366480	3.261848	3.682051
ENSONIG00000018097	ano1a	LG1	-	4095844	4146477	0.776356	6.418228	7.245049
ENSONIG00000032473	-	LG1	-	4159786	4162049	0.000000	0.000000	0.000000
ENSONIG00000028697	-	LG1	-	4164218	4173197	0.000000	0.000000	0.000000
ENSONIG00000018095	zgc:153993	LG1	+	4176264	4184080	6.738154	14.975680	16.904903
ENSONIG00000041456	ccnd1	LG1	-	4245419	4248541	0.000000	0.000000	0.000000
ENSONIG00000039148	-	LG1	+	4260090	4263482	0.000000	0.000000	0.000000
ENSONIG00000042913	-	LG1	+	4370982	4372604	0.000000	0.000000	0.000000
ENSONIG00000032417	-	LG1	-	4391508	4395329	0.000000	0.000000	0.000000
ENSONIG00000035277	-	LG1	+	4441995	4445186	0.000000	0.000000	0.000000
ENSONIG00000005417	vps35	LG1	+	4520271	4558391	5.458517	37.421936	42.242775
ENSONIG00000041258	-	LG1	-	4551113	4553239	0.000000	0.000000	0.000000
ENSONIG00000005410	ANO9	LG1	-	4560534	4577946	4.803048	11.706000	13.214011
ENSONIG00000028794	-	LG1	-	4579875	4582475	0.000000	0.000000	0.000000
ENSONIG00000039376	-	LG1	-	4599521	4601042	7.480331	16.625183	18.766903
ENSONIG00000005403	shcbp1	LG1	+	4606900	4621164	1.630481	9.628502	10.868882
ENSONIG00000005401	spg21	LG1	-	4624279	4637105	31.337173	69.647484	78.619743
ENSONIG00000005479	LRRK1	LG1	+	4663008	4766483	1.551417	5.536698	6.249958
ENSONIG00000028995	-	LG1	-	4675510	4677123	0.000000	0.000000	0.000000
ENSONIG00000040572	-	LG1	+	4780010	4798196	0.000000	0.000000	0.000000
ENSONIG00000038365	-	LG1	+	4787579	4790530	0.000000	0.000000	0.000000
ENSONIG00000013802	ADAMTS17	LG1	+	4800203	4949828	0.000000	0.000000	0.000000
ENSONIG00000013805	MINAR1	LG1	+	4954084	4969323	0.000000	0.000000	0.000000
ENSONIG00000033071	-	LG1	+	4977674	4980274	0.000000	0.000000	0.000000
ENSONIG00000013807	mthfs	LG1	-	4988998	4995772	2.706331	6.014874	6.789733
ENSONIG00000013809	CERS3	LG1	-	5013197	5036000	5.102493	19.658493	22.190975
ENSONIG00000028048	-	LG1	+	5027311	5030013	0.000000	0.000000	0.000000
ENSONIG00000013810	-	LG1	-	5041348	5048065	1.971740	4.382231	4.946767
ENSONIG00000039807	asb7	LG1	+	5050951	5064065	0.000000	0.000000	0.000000
ENSONIG00000032648	-	LG1	-	5069445	5070992	0.000000	0.000000	0.000000
ENSONIG00000037983	-	LG1	-	5071656	5074256	0.000000	0.000000	0.000000
ENSONIG00000038449	-	LG1	-	5097023	5099029	0.000000	0.000000	0.000000
ENSONIG00000015036	ankdd1a	LG1	+	5100818	5106306	1.215753	2.702035	3.050121
ENSONIG00000015038	-	LG1	-	5116191	5122672	92.339706	449.314484	507.196899
ENSONIG00000015044	-	LG1	+	5184463	5198133	6.008490	13.353988	15.074299
ENSONIG00000015047	STARD5	LG1	-	5202171	5216339	1.056535	2.348170	2.650670
ENSONIG00000034411	oni-mir-10621b	LG1	+	5206787	5206849	0.000000	0.000000	0.000000
ENSONIG00000015050	TMC3	LG1	-	5217035	5250743	0.000000	0.000000	0.000000
ENSONIG00000033969	pole3	LG1	-	5265248	5279453	7.313167	16.253658	18.347515
ENSONIG00000015056	kmt5b	LG1	+	5285710	5292425	0.000000	0.000000	0.000000
ENSONIG00000015060	HERC1	LG1	-	5412679	5493403	3.771639	8.421699	9.506614
ENSONIG00000021931	U6	LG1	-	5420599	5420706	0.000000	0.000000	0.000000
ENSONIG00000015069	dapk2a	LG1	-	5506564	5532609	0.000000	0.000000	0.000000
ENSONIG00000028146	-	LG1	+	5533843	5552199	0.000000	0.000000	0.000000
ENSONIG00000015072	rab11a	LG1	+	5556653	5567113	4.111547	14.971259	16.899914
ENSONIG00000015074	-	LG1	-	5585209	5650381	0.000000	0.000000	0.000000
ENSONIG00000007145	htatip2	LG1	+	5707537	5710487	5.976788	13.283529	14.994763
ENSONIG00000007146	prmt3	LG1	+	5719082	5780348	4.235502	16.342703	18.448032
ENSONIG00000032200	-	LG1	+	5919000	5920013	0.000000	0.000000	0.000000
ENSONIG00000007159	lrp4	LG1	-	6310996	6419391	0.000000	0.000000	0.000000
ENSONIG00000030923	A3GALT2	LG1	-	6536410	6539964	0.000000	0.000000	0.000000
ENSONIG00000028501	-	LG1	+	6582538	6583500	0.000000	0.000000	0.000000
ENSONIG00000033146	-	LG1	-	6583663	6586091	0.000000	0.000000	0.000000
ENSONIG00000039821	-	LG1	+	6583663	6589396	0.000000	0.000000	0.000000
ENSONIG00000039361	A3GALT2	LG1	-	6623245	6626193	0.000000	0.000000	0.000000
ENSONIG00000028598	A3GALT2	LG1	-	6631728	6634593	0.000000	0.000000	0.000000
ENSONIG00000034309	-	LG1	+	6644386	6645630	0.000000	0.000000	0.000000
ENSONIG00000028428	A3GALT2	LG1	-	6683026	6691820	0.000000	0.000000	0.000000
ENSONIG00000039724	A3GALT2	LG1	-	6738637	6741584	0.000000	0.000000	0.000000
ENSONIG00000030911	-	LG1	+	6745286	6747886	0.000000	0.000000	0.000000
ENSONIG00000039675	-	LG1	-	6794167	6799245	2.329513	5.177389	5.844359
ENSONIG00000007063	ero1a	LG1	-	6800237	6809299	3.380703	7.842685	8.853010
ENSONIG00000007076	SAMD4A	LG1	+	6814322	6884361	0.000000	0.000000	0.000000
ENSONIG00000007079	gch1	LG1	-	6897867	6913629	0.000000	0.000000	0.000000
ENSONIG00000007084	wdhd1	LG1	-	6917015	6937444	0.813459	2.602066	2.937274
ENSONIG00000007087	DENND4A	LG1	+	6976495	7080747	0.000000	0.000000	0.000000
ENSONIG00000042264	-	LG1	-	7039370	7040413	0.000000	0.000000	0.000000
ENSONIG00000007103	HACD3	LG1	-	7115216	7126910	2.160125	5.930552	6.694548
ENSONIG00000007107	slc22a18	LG1	+	7129875	7156220	0.000000	0.000000	0.000000
ENSONIG00000007125	mpped2a	LG1	+	7303478	7371514	1.669127	3.709668	4.187561
ENSONIG00000007127	zdhhc13	LG1	+	7422024	7431789	15.301832	49.641621	56.036644
ENSONIG00000007132	csrp3	LG1	-	7434193	7436976	1.070581	2.718268	3.068446
ENSONIG00000007135	e2f8	LG1	-	7441730	7448489	1.675414	3.723641	4.203334
ENSONIG00000007138	NAV2	LG1	+	7457921	7664448	0.301289	2.256951	2.547700
ENSONIG00000007144	dbx1a	LG1	-	7666685	7669422	0.000000	0.000000	0.000000
ENSONIG00000032653	pdcd7	LG1	+	7722236	7734941	2.070712	4.602198	5.195071
ENSONIG00000031699	UBAP1L	LG1	+	7737676	7742473	0.000000	0.000000	0.000000
ENSONIG00000020976	KBTBD13	LG1	-	7743058	7744554	0.000000	0.000000	0.000000
ENSONIG00000034413	rasl12	LG1	+	7753716	7759608	3.129032	6.954335	7.850219
ENSONIG00000010416	uqcrfs1	LG1	-	7772831	7775808	37.050354	82.345146	92.953163
ENSONIG00000014631	mtfmt	LG1	+	7786001	7796116	3.594797	12.651758	14.281606
ENSONIG00000028987	5S_rRNA	LG1	-	7790502	7790618	0.000000	0.000000	0.000000
ENSONIG00000041873	-	LG1	+	7799953	7800957	0.000000	0.000000	0.000000
ENSONIG00000038233	-	LG1	+	7872092	7876615	0.000000	0.000000	0.000000
ENSONIG00000008282	pacsin3	LG1	+	7884943	7911016	4.225244	9.390688	10.600432
ENSONIG00000030708	5S_rRNA	LG1	+	7888690	7888808	0.000000	0.000000	0.000000
ENSONIG00000042169	-	LG1	-	7946262	7960271	1.874689	4.166533	4.703282
ENSONIG00000015033	-	LG1	+	7963789	7969435	11.433170	25.660797	28.966518
ENSONIG00000015031	-	LG1	+	7971921	7972112	4.651042	10.337032	11.668688
ENSONIG00000027733	mesd	LG1	+	7972648	7976431	12.861650	28.585272	32.267735
ENSONIG00000040573	-	LG1	-	7979218	7980318	0.000000	0.000000	0.000000
ENSONIG00000001973	CEMIP	LG1	-	7982044	8161543	0.000000	0.000000	0.000000
ENSONIG00000036152	-	LG1	+	8016330	8017862	0.000000	0.000000	0.000000
ENSONIG00000040244	abhd17c	LG1	-	8192446	8225398	0.000000	0.000000	0.000000
ENSONIG00000001978	arnt2	LG1	-	8258104	8353319	2.749496	13.832517	15.614473
ENSONIG00000030455	-	LG1	+	8278110	8279333	0.000000	0.000000	0.000000
ENSONIG00000035535	5S_rRNA	LG1	+	8283137	8283255	0.000000	0.000000	0.000000
ENSONIG00000034177	-	LG1	+	8324216	8327245	0.000000	0.000000	0.000000
ENSONIG00000037906	fah	LG1	-	8384725	8404318	1.647722	6.113603	6.901180
ENSONIG00000028091	lto1	LG1	-	8439982	8442585	4.560458	10.135708	11.441428
ENSONIG00000038942	-	LG1	+	8566438	8613648	0.000000	0.000000	0.000000
ENSONIG00000040953	-	LG1	-	8582415	8586738	0.000000	0.000000	0.000000
ENSONIG00000029025	-	LG1	-	8587134	8587826	0.000000	0.000000	0.000000
ENSONIG00000041528	-	LG1	-	8606314	8612674	0.000000	0.000000	0.000000
ENSONIG00000030513	-	LG1	+	8607513	8608910	0.000000	0.000000	0.000000
ENSONIG00000032798	-	LG1	+	8619036	8622965	0.000000	0.000000	0.000000
ENSONIG00000007898	TNNT3	LG1	+	8626896	8655406	37.656017	111.116707	125.431190
ENSONIG00000007897	myod2	LG1	-	8656120	8660397	0.000000	0.000000	0.000000
ENSONIG00000041851	-	LG1	-	8750831	8752255	0.000000	0.000000	0.000000
ENSONIG00000038030	-	LG1	+	8757253	8771289	0.000000	0.000000	0.000000
ENSONIG00000008300	celf1	LG1	-	8820551	8891750	0.000000	0.000000	0.000000
ENSONIG00000041355	-	LG1	+	8866814	8869558	0.000000	0.000000	0.000000
ENSONIG00000027795	A3GALT2	LG1	-	8947014	8951598	20.771509	50.083607	56.535564
ENSONIG00000042626	-	LG1	+	8947724	8949151	0.000000	0.000000	0.000000
ENSONIG00000036840	MAPK8IP1	LG1	-	8966788	9015384	0.000000	0.000000	0.000000
ENSONIG00000027873	-	LG1	-	9017023	9020457	0.000000	0.000000	0.000000
ENSONIG00000034018	-	LG1	-	9024438	9026284	0.000000	0.000000	0.000000
ENSONIG00000040487	-	LG1	-	9113167	9114180	0.000000	0.000000	0.000000
ENSONIG00000020452	chst1	LG1	-	9144220	9145506	0.000000	0.000000	0.000000
ENSONIG00000005915	-	LG1	+	9328157	9356191	0.000000	0.000000	0.000000
ENSONIG00000005912	slc1a2a	LG1	+	9358522	9380115	0.000000	0.000000	0.000000
ENSONIG00000042636	hsd17b12b	LG1	-	9379675	9594270	5.018806	15.174676	17.129536
ENSONIG00000005908	apip	LG1	+	9395478	9406053	4.024169	16.507784	18.634380
ENSONIG00000020451	LRRC4C	LG1	+	9476612	9478498	0.000000	0.000000	0.000000
ENSONIG00000036270	-	LG1	-	9568264	9569486	0.000000	0.000000	0.000000
ENSONIG00000021485	oni-mir-129-3	LG1	-	9600998	9601060	0.000000	0.000000	0.000000
ENSONIG00000005886	ttc17	LG1	-	9617116	9634761	1.898022	6.004017	6.777477
ENSONIG00000040460	traf6	LG1	+	9634545	9639789	3.094055	7.048801	7.956855
ENSONIG00000005867	trpm5	LG1	-	9640814	9658304	0.000000	0.000000	0.000000
ENSONIG00000034462	-	LG1	+	9661005	9661679	0.000000	0.000000	0.000000
ENSONIG00000005859	kcnq1.1	LG1	-	9665425	9706230	0.000000	0.000000	0.000000
ENSONIG00000034475	luzp2	LG1	+	9799702	9940679	1.848561	4.108463	4.637731
ENSONIG00000036464	-	LG1	+	10041918	10043516	0.000000	0.000000	0.000000
ENSONIG00000023333	-	LG1	-	10092819	10112769	15.861172	35.251766	39.793034
ENSONIG00000020450	fibinb	LG1	+	10143529	10144158	6.563492	14.587490	16.466705
ENSONIG00000005854	bbox1	LG1	+	10150923	10168779	0.000000	0.000000	0.000000
ENSONIG00000005841	MADD	LG1	-	10157864	10211197	1.007254	5.177593	5.844590
ENSONIG00000005828	nr1h3	LG1	-	10222043	10231276	5.301446	12.092935	13.650792
ENSONIG00000031018	arl14ep	LG1	+	10233638	10238001	7.755725	17.237251	19.457819
ENSONIG00000005826	fshb	LG1	-	10247868	10249207	0.000000	0.000000	0.000000
ENSONIG00000005824	KCNA4	LG1	+	10263597	10265701	0.000000	0.000000	0.000000
ENSONIG00000005822	cd151l	LG1	-	10367274	10385536	11.473220	25.499456	28.784395
ENSONIG00000005817	-	LG1	-	10395749	10416368	0.000000	0.000000	0.000000
ENSONIG00000005804	ddb1	LG1	+	10416303	10461039	6.186006	15.527012	17.527260
ENSONIG00000027294	tspan4a	LG1	-	10478910	10637100	3.472149	9.257846	10.450477
ENSONIG00000005800	taldo1	LG1	+	10640399	10849886	39.329506	223.623428	252.431458
ENSONIG00000005791	SIN3A	LG1	+	10671208	10816822	2.845097	7.316410	8.258938
ENSONIG00000012848	crabp1b	LG1	-	10687975	10694891	3.053749	15.242973	17.206631
ENSONIG00000005782	slc25a44b	LG1	-	10698540	10702816	0.000000	0.000000	0.000000
ENSONIG00000005774	PSMA4	LG1	+	10704614	10736171	15.971090	35.496063	40.068798
ENSONIG00000005770	rbpms2b	LG1	+	10736673	10747278	20.343456	92.563522	104.487915
ENSONIG00000005763	cpeb1b	LG1	+	10757202	10766850	0.000000	0.000000	0.000000
ENSONIG00000034644	rps17	LG1	-	10771897	10777132	1703.326172	3863.198242	4360.870117
ENSONIG00000005753	csnk1g1	LG1	-	10778694	10812687	1.253541	14.676642	16.567343
ENSONIG00000005744	SNX1	LG1	-	10817945	10826369	1.701629	6.670075	7.529339
ENSONIG00000005730	neo1a	LG1	-	10832218	10983304	0.000000	0.000000	0.000000
ENSONIG00000005728	bbs4	LG1	-	11050013	11058612	0.930095	2.296492	2.592335
ENSONIG00000005721	scamp2l	LG1	-	11066182	11071027	4.318005	9.596851	10.833154
ENSONIG00000005713	myo9aa	LG1	-	11075504	11171015	0.252741	2.540386	2.867649
ENSONIG00000020449	senp8	LG1	+	11172333	11172998	1.486486	3.303745	3.729345
ENSONIG00000005711	GRAMD2A	LG1	-	11185029	11208766	1.440868	3.386175	3.822396
ENSONIG00000005706	znf609b	LG1	-	11213538	11264042	0.000000	0.000000	0.000000
ENSONIG00000005703	trip4	LG1	-	11299282	11379202	1.736275	3.858905	4.356024
ENSONIG00000005698	chrna7a	LG1	-	11382715	11404288	0.000000	0.000000	0.000000
ENSONIG00000005697	cln6a	LG1	+	11390620	11416947	0.342803	2.912405	3.287592
ENSONIG00000030053	-	LG1	-	11419409	11420554	0.000000	0.000000	0.000000
ENSONIG00000005694	calml4a	LG1	+	11421264	11425066	0.000000	0.000000	0.000000
ENSONIG00000005678	ADAMTS7	LG1	-	11429247	11500328	0.000000	0.000000	0.000000
ENSONIG00000005664	itga11a	LG1	-	11508144	11559419	1.862310	8.028891	9.063202
ENSONIG00000041808	-	LG1	-	11565197	11567266	0.000000	0.000000	0.000000
ENSONIG00000005661	CORO2B	LG1	+	11583653	11627688	1.914251	5.151068	5.814647
ENSONIG00000005652	anp32a	LG1	-	11627454	11633330	7.435490	31.540539	35.603710
ENSONIG00000013224	glceb	LG1	+	11692606	11745431	0.000000	0.000000	0.000000
ENSONIG00000013225	paqr5a	LG1	+	11762389	11771725	23.971445	53.277008	60.140358
ENSONIG00000027988	-	LG1	+	11773847	11774642	0.000000	0.000000	0.000000
ENSONIG00000002977	-	LG1	-	11774631	11775895	0.000000	0.000000	0.000000
ENSONIG00000013226	kif23	LG1	+	11775851	11789159	1.142387	2.713728	3.063320
ENSONIG00000013230	TLE3	LG1	-	11923413	11949569	1.397336	6.205049	7.004406
ENSONIG00000042496	-	LG1	-	12003347	12059922	0.000000	0.000000	0.000000
ENSONIG00000013232	UACA	LG1	-	12081065	12118593	0.000000	0.000000	0.000000
ENSONIG00000013241	-	LG1	-	12124118	12133717	5.271810	17.951660	20.264261
ENSONIG00000013250	-	LG1	-	12141131	12143767	0.000000	0.000000	0.000000
ENSONIG00000013251	PIAS1	LG1	-	12149998	12203602	0.000000	0.000000	0.000000
ENSONIG00000027793	-	LG1	-	12208497	12211097	0.000000	0.000000	0.000000
ENSONIG00000036681	map2k5	LG1	-	12246260	12304178	1.128762	2.518719	2.843190
ENSONIG00000013271	-	LG1	-	12330771	12356255	0.000000	0.000000	0.000000
ENSONIG00000013280	smad6a	LG1	-	12413990	12430157	18.196953	40.443089	45.653114
ENSONIG00000013283	tmem208	LG1	-	12445314	12447701	12.294208	27.324118	30.844116
ENSONIG00000042582	-	LG1	-	12449430	12450786	0.000000	0.000000	0.000000
ENSONIG00000020887	STOM	LG1	+	12449845	12450913	2.170290	4.823512	5.444895
ENSONIG00000013286	slc39a1	LG1	+	12456295	12460490	0.000000	0.000000	0.000000
ENSONIG00000013288	-	LG1	+	12465789	12472015	0.000000	0.000000	0.000000
ENSONIG00000013290	ABHD2	LG1	-	12499777	12512768	4.047009	9.093202	10.264623
ENSONIG00000013296	mfge8a	LG1	+	12514343	12526400	2.621875	12.562151	14.180454
ENSONIG00000013302	HAPLN3	LG1	+	12529402	12532196	0.000000	0.000000	0.000000
ENSONIG00000013305	mibp2	LG1	+	12541708	12543898	820.011169	1822.490967	2057.271240
ENSONIG00000013317	slc30a4	LG1	+	12552398	12577993	2.879238	11.084020	12.511905
ENSONIG00000013314	bloc1s6	LG1	-	12554005	12558470	16.548569	36.779522	41.517597
ENSONIG00000038594	zgc:153317	LG1	-	12574069	12575302	90.395935	200.906738	226.788315
ENSONIG00000021870	oni-mir-147	LG1	-	12574206	12574268	0.000000	0.000000	0.000000
ENSONIG00000013321	afg2b	LG1	-	12575591	12580353	2.053214	4.563309	5.151172
ENSONIG00000013323	-	LG1	+	12582434	12599125	8.339254	21.801361	24.609894
ENSONIG00000013335	dtwd1	LG1	-	12599677	12606553	1.468429	3.263612	3.684043
ENSONIG00000013338	fgf7	LG1	-	12612783	12617858	5.183895	11.521309	13.005527
ENSONIG00000013341	cops2	LG1	+	12654545	12662016	20.683237	52.747078	59.542160
ENSONIG00000013343	SECISBP2L	LG1	+	12664980	12679196	1.402991	3.776739	4.263273
ENSONIG00000030018	-	LG1	+	12686275	12694360	0.000000	0.000000	0.000000
ENSONIG00000013348	FBN1	LG1	+	12712249	12771472	7.524236	19.085243	21.543877
ENSONIG00000013362	dut	LG1	-	12772693	12775554	19.538717	49.944778	56.378860
ENSONIG00000013365	SLC12A1	LG1	-	12778542	12790437	0.000000	0.000000	0.000000
ENSONIG00000013374	myef2	LG1	+	12800690	12810272	6.301732	24.382614	27.523676
ENSONIG00000033946	slc24a5	LG1	-	12811334	12816399	0.000000	0.000000	0.000000
ENSONIG00000042066	-	LG1	+	12821815	12823477	5.786748	12.861161	14.517985
ENSONIG00000035518	-	LG1	-	12828186	12829301	0.000000	0.000000	0.000000
ENSONIG00000039742	ppef1	LG1	+	12846051	12855446	0.000000	0.000000	0.000000
ENSONIG00000037084	PHKA2	LG1	-	12863245	12878096	4.562510	13.614544	15.368422
ENSONIG00000029034	-	LG1	+	12882501	12883749	0.000000	0.000000	0.000000
ENSONIG00000037078	-	LG1	-	12933952	12936462	0.000000	0.000000	0.000000
ENSONIG00000034341	-	LG1	-	12941476	12944167	0.000000	0.000000	0.000000
ENSONIG00000028662	-	LG1	+	12961323	12961526	5.049020	11.221546	12.667149
ENSONIG00000042779	slc24a5	LG1	-	12980424	12987169	0.000000	0.000000	0.000000
ENSONIG00000030175	-	LG1	+	12992961	12993934	5.750139	12.779799	14.426139
ENSONIG00000037887	slc24a5	LG1	-	13014719	13020245	0.000000	0.000000	0.000000
ENSONIG00000032500	-	LG1	+	13030328	13031410	7.723910	17.166542	19.378002
ENSONIG00000033002	sema6dl	LG1	-	13055511	13068630	14.713838	37.272102	42.073635
ENSONIG00000000145	dmxl2	LG1	+	13331231	13368476	0.000000	0.000000	0.000000
ENSONIG00000000153	gldn	LG1	-	13371012	13376385	0.000000	0.000000	0.000000
ENSONIG00000041467	tnfaip8l3	LG1	+	13394254	13413461	5.984163	13.299920	15.013267
ENSONIG00000000167	scg3	LG1	+	13424201	13437736	0.000000	0.000000	0.000000
